source synth/list_parts.tcl
# puts [format "%-24s %-14s %-8s %s" PART PACKAGE SPEED DEVICE]
PART                     PACKAGE        SPEED    DEVICE
# foreach part [lsort [get_parts]] {
#     set pkg    [get_property PACKAGE     [get_parts $part]]
#     set speed  [get_property SPEED       [get_parts $part]]
#     set device [get_property DEVICE      [get_parts $part]]
#     puts [format "%-24s %-14s %-8s %s" $part $pkg $speed $device]
# }
xazu3teg-sfvc784-1LV-i   sfvc784        -1LV     xazu3teg
xazu3teg-sfvc784-1Q-q    sfvc784        -1Q      xazu3teg
xazu3teg-sfvd784-1-i     sfvd784        -1       xazu3teg
xazu3teg-sfvd784-1L-i    sfvd784        -1L      xazu3teg
xazu3teg-sfvd784-1LV-i   sfvd784        -1LV     xazu3teg
xazu3teg-sfvd784-1Q-q    sfvd784        -1Q      xazu3teg
xazu4ev-sfvc784-1-i      sfvc784        -1       xazu4ev
xazu4ev-sfvc784-1LV-i    sfvc784        -1LV     xazu4ev
xazu4ev-sfvc784-1Q-q     sfvc784        -1Q      xazu4ev
xazu5ev-sfvc784-1-i      sfvc784        -1       xazu5ev
xazu5ev-sfvc784-1LV-i    sfvc784        -1LV     xazu5ev
xazu5ev-sfvc784-1Q-q     sfvc784        -1Q      xazu5ev
xazu7ev-fbvb900-1-i      fbvb900        -1       xazu7ev
xazu7ev-fbvb900-1Q-q     fbvb900        -1Q      xazu7ev
xc7a100tcsg324-1         csg324         -1       xc7a100t
xc7a100tcsg324-2         csg324         -2       xc7a100t
xc7a100tcsg324-2L        csg324         -2L      xc7a100t
xc7a100tcsg324-3         csg324         -3       xc7a100t
xc7a100tfgg484-1         fgg484         -1       xc7a100t
xc7a100tfgg484-2         fgg484         -2       xc7a100t
xc7a100tfgg484-2L        fgg484         -2L      xc7a100t
xc7a100tfgg484-3         fgg484         -3       xc7a100t
xc7a100tfgg676-1         fgg676         -1       xc7a100t
xc7a100tfgg676-2         fgg676         -2       xc7a100t
xc7a100tfgg676-2L        fgg676         -2L      xc7a100t
xc7a100tfgg676-3         fgg676         -3       xc7a100t
xc7a100tftg256-1         ftg256         -1       xc7a100t
xc7a100tftg256-2         ftg256         -2       xc7a100t
xc7a100tftg256-2L        ftg256         -2L      xc7a100t
xc7a100tftg256-3         ftg256         -3       xc7a100t
xc7a100ticsg324-1L       csg324         -1L      xc7a100ti
xc7a100tifgg484-1L       fgg484         -1L      xc7a100ti
xc7a100tifgg676-1L       fgg676         -1L      xc7a100ti
xc7a100tiftg256-1L       ftg256         -1L      xc7a100ti
xc7a100tlcsg324-2L       csg324         -2L      xc7a100tl
xc7a100tlfgg484-2L       fgg484         -2L      xc7a100tl
xc7a100tlfgg676-2L       fgg676         -2L      xc7a100tl
xc7a100tlftg256-2L       ftg256         -2L      xc7a100tl
xc7a12tcpg238-1          cpg238         -1       xc7a12t
xc7a12tcpg238-2          cpg238         -2       xc7a12t
xc7a12tcpg238-2L         cpg238         -2L      xc7a12t
xc7a12tcpg238-3          cpg238         -3       xc7a12t
xc7a12tcsg325-1          csg325         -1       xc7a12t
xc7a12tcsg325-2          csg325         -2       xc7a12t
xc7a12tcsg325-2L         csg325         -2L      xc7a12t
xc7a12tcsg325-3          csg325         -3       xc7a12t
xc7a12ticpg238-1L        cpg238         -1L      xc7a12ti
xc7a12ticsg325-1L        csg325         -1L      xc7a12ti
xc7a12tlcpg238-2L        cpg238         -2L      xc7a12tl
xc7a12tlcsg325-2L        csg325         -2L      xc7a12tl
xc7a15tcpg236-1          cpg236         -1       xc7a15t
xc7a15tcpg236-2          cpg236         -2       xc7a15t
xc7a15tcpg236-2L         cpg236         -2L      xc7a15t
